fuel,perc,cod_date,regionid
biomass,0.0,COD2023110708,1.0
coal,0.0,COD2023110708,1.0
imports,0.0,COD2023110708,1.0
gas,0.0,COD2023110708,1.0
nuclear,0.3,COD2023110708,1.0
other,0.0,COD2023110708,1.0
hydro,32.7,COD2023110708,1.0
solar,0.0,COD2023110708,1.0
wind,67.1,COD2023110708,1.0
biomass,0.0,COD2023110709,1.0
coal,0.0,COD2023110709,1.0
imports,0.0,COD2023110709,1.0
gas,0.0,COD2023110709,1.0
nuclear,0.0,COD2023110709,1.0
other,0.0,COD2023110709,1.0
hydro,26.9,COD2023110709,1.0
solar,0.0,COD2023110709,1.0
wind,73.1,COD2023110709,1.0
biomass,0.0,COD2023110710,1.0
coal,0.0,COD2023110710,1.0
imports,0.0,COD2023110710,1.0
gas,0.0,COD2023110710,1.0
nuclear,0.4,COD2023110710,1.0
other,0.0,COD2023110710,1.0
hydro,23.7,COD2023110710,1.0
solar,0.0,COD2023110710,1.0
wind,75.9,COD2023110710,1.0
biomass,0.0,COD2023110711,1.0
coal,0.0,COD2023110711,1.0
imports,0.0,COD2023110711,1.0
gas,0.0,COD2023110711,1.0
nuclear,0.9,COD2023110711,1.0
other,0.0,COD2023110711,1.0
hydro,22.3,COD2023110711,1.0
solar,0.0,COD2023110711,1.0
wind,76.8,COD2023110711,1.0
biomass,0.2,COD2023110712,1.0
coal,0.0,COD2023110712,1.0
imports,0.2,COD2023110712,1.0
gas,0.2,COD2023110712,1.0
nuclear,1.2,COD2023110712,1.0
other,0.0,COD2023110712,1.0
hydro,28.1,COD2023110712,1.0
solar,0.2,COD2023110712,1.0
wind,70.0,COD2023110712,1.0
biomass,0.3,COD2023110713,1.0
coal,0.0,COD2023110713,1.0
imports,0.4,COD2023110713,1.0
gas,0.3,COD2023110713,1.0
nuclear,3.0,COD2023110713,1.0
other,0.0,COD2023110713,1.0
hydro,30.6,COD2023110713,1.0
solar,0.3,COD2023110713,1.0
wind,65.1,COD2023110713,1.0
biomass,0.5,COD2023110714,1.0
coal,0.0,COD2023110714,1.0
imports,0.8,COD2023110714,1.0
gas,0.5,COD2023110714,1.0
nuclear,5.5,COD2023110714,1.0
other,0.0,COD2023110714,1.0
hydro,29.0,COD2023110714,1.0
solar,0.4,COD2023110714,1.0
wind,63.2,COD2023110714,1.0
biomass,0.6,COD2023110715,1.0
coal,0.0,COD2023110715,1.0
imports,0.9,COD2023110715,1.0
gas,0.6,COD2023110715,1.0
nuclear,5.9,COD2023110715,1.0
other,0.0,COD2023110715,1.0
hydro,42.9,COD2023110715,1.0
solar,0.1,COD2023110715,1.0
wind,48.9,COD2023110715,1.0
biomass,0.7,COD2023110716,1.0
coal,0.0,COD2023110716,1.0
imports,1.0,COD2023110716,1.0
gas,0.7,COD2023110716,1.0
nuclear,5.1,COD2023110716,1.0
other,0.0,COD2023110716,1.0
hydro,47.7,COD2023110716,1.0
solar,0.0,COD2023110716,1.0
wind,44.9,COD2023110716,1.0
biomass,0.7,COD2023110717,1.0
coal,0.0,COD2023110717,1.0
imports,1.0,COD2023110717,1.0
gas,0.6,COD2023110717,1.0
nuclear,5.7,COD2023110717,1.0
other,0.0,COD2023110717,1.0
hydro,49.2,COD2023110717,1.0
solar,0.0,COD2023110717,1.0
wind,42.8,COD2023110717,1.0
biomass,0.9,COD2023110718,1.0
coal,0.0,COD2023110718,1.0
imports,1.4,COD2023110718,1.0
gas,0.8,COD2023110718,1.0
nuclear,8.4,COD2023110718,1.0
other,0.0,COD2023110718,1.0
hydro,43.2,COD2023110718,1.0
solar,0.0,COD2023110718,1.0
wind,45.3,COD2023110718,1.0
biomass,1.5,COD2023110719,1.0
coal,0.0,COD2023110719,1.0
imports,2.5,COD2023110719,1.0
gas,1.5,COD2023110719,1.0
nuclear,11.4,COD2023110719,1.0
other,0.0,COD2023110719,1.0
hydro,33.7,COD2023110719,1.0
solar,0.1,COD2023110719,1.0
wind,49.3,COD2023110719,1.0
biomass,1.2,COD2023110720,1.0
coal,0.0,COD2023110720,1.0
imports,1.9,COD2023110720,1.0
gas,0.9,COD2023110720,1.0
nuclear,9.6,COD2023110720,1.0
other,0.0,COD2023110720,1.0
hydro,49.3,COD2023110720,1.0
solar,0.0,COD2023110720,1.0
wind,37.1,COD2023110720,1.0
biomass,1.6,COD2023110721,1.0
coal,0.0,COD2023110721,1.0
imports,2.7,COD2023110721,1.0
gas,1.1,COD2023110721,1.0
nuclear,10.8,COD2023110721,1.0
other,0.0,COD2023110721,1.0
hydro,37.4,COD2023110721,1.0
solar,0.0,COD2023110721,1.0
wind,46.3,COD2023110721,1.0
biomass,1.0,COD2023110722,1.0
coal,0.0,COD2023110722,1.0
imports,2.7,COD2023110722,1.0
gas,0.8,COD2023110722,1.0
nuclear,7.4,COD2023110722,1.0
other,0.0,COD2023110722,1.0
hydro,31.0,COD2023110722,1.0
solar,0.1,COD2023110722,1.0
wind,57.0,COD2023110722,1.0
biomass,0.3,COD2023110723,1.0
coal,0.0,COD2023110723,1.0
imports,0.7,COD2023110723,1.0
gas,0.2,COD2023110723,1.0
nuclear,1.2,COD2023110723,1.0
other,0.0,COD2023110723,1.0
hydro,29.4,COD2023110723,1.0
solar,0.0,COD2023110723,1.0
wind,68.2,COD2023110723,1.0
biomass,0.0,COD2023110800,1.0
coal,0.0,COD2023110800,1.0
imports,0.0,COD2023110800,1.0
gas,0.0,COD2023110800,1.0
nuclear,0.0,COD2023110800,1.0
other,0.0,COD2023110800,1.0
hydro,26.0,COD2023110800,1.0
solar,0.0,COD2023110800,1.0
wind,74.0,COD2023110800,1.0
biomass,0.0,COD2023110801,1.0
coal,0.0,COD2023110801,1.0
